calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw006	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	6	1067634857
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw007	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	7	2005060581
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw008	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	8	696570478
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw009	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	9	1064574840
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw010	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	10	1898300698
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw011	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	11	1285459350
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw012	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	12	791334305
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw013	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	13	1266649290
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw014	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	14	1734295380
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw015	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	15	827752451
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw016	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	16	1905133781
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw017	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	17	1367171594
