demography_id	selection_coefficient	time_variable	time_generations	time_kya	initial_af_assumption	deterministic_final_af
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1981	49.525	0.00013846579894765993	0.7350215416178453
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1991	49.775	0.0001380071763731714	0.744013247478057
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2001	50.025	0.00013766519823788548	0.7529581242004555
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2011	50.275	0.00013736263736263736	0.761741534538306
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2021	50.525	0.00013709898546750753	0.77035728701231
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2031	50.775	0.00013642564802182812	0.778234200514084
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2041	51.025	0.00013564839934888768	0.785783031286752
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2051	51.275	0.0001350621285791464	0.7933699108880059
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2061	51.525	0.00013491635186184566	0.8012745363934767
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2071	51.775	0.00013462574044157243	0.8087831503903667
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2081	52.025	0.0001339046598821639	0.8155901760974867
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2091	52.275	0.00013354700854700856	0.822601977602302
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2101	52.525	0.00013347570742124932	0.8297056262747523
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2111	52.775	0.00013280212483399734	0.8359616490776769
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2121	53.025	0.00013241525423728814	0.8423163328200837
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2131	53.275	0.00013238019592268997	0.8488102362724014
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2141	53.525	0.00013140604467805518	0.8541979356971016
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2151	53.775	0.00013095861707700367	0.8599050756818517
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2161	54.025	0.00013082155939298797	0.8656990931495434
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2171	54.275	0.00013024225058609013	0.8709085461797758
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2181	54.525	0.00012980269989615784	0.8760597669286811
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2191	54.775	0.00012943308309603936	0.8810889549451998
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2201	55.025	0.00012923235978288964	0.8860719156026583
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2211	55.275	0.00012913223140495868	0.8909474442384625
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2221	55.525	0.0001288992008249549	0.8955424691045799
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	2231	55.775	0.00012843565373747752	0.8998037495078729
